"type","date","open","close","high","volume","low"
"resistance",1535892600,7249.01,7195.62,7250,318.32795906000007,7180.6
"support",1535896200,7195.62,7207.03,7227.1,173.04178262000002,7183
"resistance",1535914200,7289.62,7285.36,7323,333.10362418,7281
"support",1535921400,7280.14,7285.01,7298.65,202.71827625999993,7277.19
"resistance",1535932200,7309.04,7278.3,7324.64,254.0783103399999,7278.29
"support",1535939400,7262.14,7265.13,7269.49,113.12309596000003,7245.91
"resistance",1535943000,7265.12,7262,7285,210.12923662999992,7261.56
"support",1535950200,7207.76,7212.37,7223.02,178.41246685000002,7200
"resistance",1535957400,7247.82,7232.59,7249.12,95.08497424,7225.36
"support",1535961000,7232.59,7241.98,7260.29,76.57402859000001,7232.59
"resistance",1535964600,7241.97,7213.06,7241.98,101.03984546000001,7206.11
"support",1535968200,7213.05,7228.04,7235.98,81.29477507,7210
"resistance",1535971800,7228.04,7224.29,7235.72,69.48747271999999,7219
"support",1535975400,7224.29,7249.94,7254.76,109.44340063999998,7220.29
"resistance",1535982600,7280.01,7273,7283.94,205.15107116999994,7257.94
"support",1535986200,7272.99,7274.01,7279.7,262.73880894,7266.73
"resistance",1535989800,7274.01,7256,7283.89,268.8777553299999,7249.03
"support",1535993400,7256.01,7278.88,7284.99,251.91867478999998,7253.23
"resistance",1535997000,7278.89,7273.86,7278.89,172.16091174,7263.03
"support",1536000600,7273.86,7316.57,7322,746.594493109999,7265.12
"resistance",1536004200,7316.58,7284.99,7320.99,410.4458333599999,7271.46
"support",1536007800,7285,7300.54,7302,248.68015748000008,7284.99
"resistance",1536011400,7300.53,7284.99,7339.52,417.03577075000027,7278.72
"support",1536018600,7258.21,7263.7,7269.48,170.80811288999993,7250
"resistance",1536025800,7277.68,7276.05,7285,221.5534102,7275
"support",1536036600,7242.23,7263.57,7264.58,94.30035469999999,7242.23
"resistance",1536043800,7284.99,7281,7285,282.92783711000016,7270.68
"support",1536047400,7280.99,7287.43,7311,335.44230254999997,7276.97
"resistance",1536051000,7287.43,7280.7,7290.01,76.63238195000001,7272.29
"support",1536054600,7280.71,7300.21,7300.99,48.42446377000002,7280.7
"resistance",1536072600,7373.7,7364.99,7373.7,550.3918871999999,7350.5
"support",1536079800,7357.99,7370.69,7384,589.7442151499998,7357.99
"resistance",1536083400,7370.7,7349.88,7402.5,984.2574609100002,7334
"support",1536090600,7345.6,7356.97,7357.63,299.26592877,7339.82
"resistance",1536097800,7365.09,7350.01,7365.09,247.17198205000008,7345.57
"support",1536101400,7350.01,7365,7365,260.40091355000004,7345.99
"resistance",1536112200,7384,7377,7384,168.07538878999998,7372
"support",1536123000,7353,7363,7364.27,115.00677642000004,7352.99
"resistance",1536130200,7369,7361.01,7371,84.14999556999999,7358
"support",1536133800,7361.01,7365.01,7380,85.68653436000001,7361
"resistance",1536137400,7365.01,7343.94,7371.59,154.40265770999997,7343.94
"support",1536148200,6961.99,6971.64,7025,676.2149093800001,6958
"resistance",1536155400,7014.62,6985.78,7043.93,892.3730601999997,6985.78
"support",1536166200,6899.99,6916.39,6931.07,1403.4039335799996,6837.66
"resistance",1536169800,6916.46,6915,6930,410.52507417999993,6900
"support",1536173400,6914.99,6916,6923.14,476.09290812000006,6882.63
"resistance",1536180600,6936,6925.57,6985,490.16583522,6914.14
"support",1536195000,6355,6401,6456.84,2044.9184555099994,6345.01
"resistance",1536202200,6430.01,6393.86,6445,546.7706913999998,6391
"support",1536205800,6393.86,6432.64,6448.97,388.0081633699997,6393.86
"resistance",1536209400,6432.64,6352,6435.07,855.9515721699998,6338
"support",1536213000,6352.01,6405.01,6425,361.80725938,6352.01
"resistance",1536223800,6429.71,6353.06,6432,907.4764568100003,6286.5
"support",1536227400,6353.34,6355.9,6396,262.22983013999993,6353.34
"resistance",1536234600,6405.59,6403.64,6414,293.26768835999997,6376.18
"support",1536238200,6403.65,6469.46,6491.24,809.8005527600002,6377.71
"resistance",1536241800,6469.46,6449.99,6497.96,744.89098668,6443.13
"support",1536249000,6413.74,6431.27,6433.99,607.16624518,6390
"resistance",1536252600,6431.27,6407,6431.27,501.7153033799999,6402
"support",1536256200,6407,6427.01,6436.43,925.5057280999993,6329.41
"resistance",1536263400,6453.99,6444.04,6460,270.95415692,6421.12
"support",1536270600,6436,6443.38,6445,249.13041969000005,6425
